                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.80282,                0.83545,                 1.1695,                0.92032,                0.92361,                0.96198,                0.83861,                0.56046,                 0.3944,                0.94886,               0.002575,               0.002575,               0.002575
                     62,                0.79153,                0.81253,                 1.1646,                0.92428,                0.93017,                0.96219,                0.83954,                0.55519,                0.38884,                0.94392,              0.0024513,              0.0024513,              0.0024513
                     63,                0.79488,                0.81295,                 1.1555,                0.95496,                0.91272,                0.96415,                0.84273,                0.55186,                0.38005,                0.94036,              0.0023275,              0.0023275,              0.0023275
                     64,                0.78976,                0.79786,                 1.1469,                0.95932,                 0.9114,                0.96618,                0.84632,                0.55224,                0.37901,                0.94017,              0.0022038,              0.0022038,              0.0022038
                     65,                0.79855,                0.81315,                 1.1581,                0.93991,                0.92587,                0.96566,                0.84661,                0.55059,                0.37723,                 0.9387,                0.00208,                0.00208,                0.00208
                     66,                0.78272,                 0.8008,                 1.1507,                0.94669,                0.92455,                0.96636,                0.84774,                0.55237,                0.37876,                 0.9377,              0.0019563,              0.0019563,              0.0019563
                     67,                0.78505,                0.79289,                 1.1532,                0.94695,                 0.9231,                0.96706,                 0.8483,                0.54667,                0.37543,                0.93556,              0.0018325,              0.0018325,              0.0018325
                     68,                0.77486,                0.78753,                 1.1491,                0.96092,                0.91045,                0.96612,                0.84482,                 0.5466,                0.37389,                0.93416,              0.0017087,              0.0017087,              0.0017087
                     69,                0.77127,                0.75862,                 1.1406,                0.96021,                 0.9131,                0.96602,                0.84631,                0.54794,                0.37562,                 0.9362,               0.001585,               0.001585,               0.001585
                     70,                0.76167,                0.75119,                 1.1383,                0.96232,                0.91294,                0.96572,                0.84684,                0.54588,                0.37317,                0.93415,              0.0014612,              0.0014612,              0.0014612
                     71,                0.76385,                0.76235,                 1.1352,                0.95468,                0.91557,                0.96575,                0.84693,                0.54626,                0.37467,                0.93386,              0.0013375,              0.0013375,              0.0013375
                     72,                0.75053,                0.73487,                 1.1332,                0.94691,                0.92714,                0.96559,                0.84937,                0.54395,                0.37312,                0.93345,              0.0012138,              0.0012138,              0.0012138
                     73,                0.74923,                0.73965,                  1.128,                0.95429,                0.92112,                 0.9661,                0.85047,                0.54526,                0.37257,                0.93523,                0.00109,                0.00109,                0.00109
                     74,                0.73753,                0.73347,                 1.1232,                0.95455,                 0.9189,                 0.9653,                0.84934,                0.54575,                0.37173,                0.93603,             0.00096625,             0.00096625,             0.00096625
                     75,                0.75965,                0.73259,                 1.1341,                 0.9446,                0.92541,                0.96694,                 0.8492,                0.54716,                0.37152,                0.93644,              0.0008425,              0.0008425,              0.0008425
                     76,                0.74964,                0.73148,                 1.1253,                0.94499,                0.92588,                0.96625,                0.84977,                0.54845,                 0.3725,                0.93659,             0.00071875,             0.00071875,             0.00071875
                     77,                0.75707,                0.73424,                 1.1284,                0.94245,                0.92887,                0.96607,                0.84903,                0.54795,                0.37302,                0.93613,               0.000595,               0.000595,               0.000595
                     78,                 0.7459,                0.72404,                  1.132,                0.94477,                0.92754,                0.96633,                0.85008,                0.54733,                0.37217,                0.93603,             0.00047125,             0.00047125,             0.00047125
                     79,                0.74448,                0.71838,                 1.1268,                0.94274,                0.92823,                0.96631,                0.85005,                0.54719,                0.37233,                0.93645,              0.0003475,              0.0003475,              0.0003475
